Obs:  0 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  1 (Files   ): Kernel Linear->Images     | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  2 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  3 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  4 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  5 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  6 (Files   ): Kernel Linear->Images     | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  7 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  8 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs:  9 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 10 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 11 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 12 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 13 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 14 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 15 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 16 (Files   ): Kernel Linear->Images     | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 17 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 18 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 19 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 20 (Files   ): Kernel Linear->Files      | Kernel RBF->Files      | Kernel Poly->Streaming 
Obs: 21 (Files   ): Kernel Linear->Images     | Kernel RBF->Files      | Kernel Poly->Streaming 
