Obs:  0 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  1 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  2 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  3 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  4 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  5 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  6 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  7 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  8 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs:  9 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 10 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 11 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 12 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 13 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 14 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 15 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 16 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 17 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 18 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 19 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 20 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 21 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 22 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 23 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 24 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 25 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 26 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 27 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 28 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 29 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 30 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 31 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 32 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 33 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 34 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 35 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 36 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 37 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 38 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 39 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 40 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 41 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 42 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 43 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 44 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 45 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 46 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 47 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 48 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 49 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 50 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 51 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 52 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 53 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 54 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 55 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 56 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 57 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 58 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 59 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 60 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 61 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 62 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 63 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
Obs: 64 (Files   ): Kernel Linear->Files      | Kernel RBF->Browsing   | Kernel Poly->Streaming 
